Comic Name
Detective Comics #1022
Detective Comics #1023
Detective Comics #1024
Batgirl Vol. 5 #47
Batgirl Vol. 5 #48
Batgirl Vol. 5 #49
Nightwing Vol. 4 #70
Nightwing Vol. 4 #71
Nightwing Vol. 4 #72
Batman Vol. 3 #95
Harley Quinn Vol. 3 #75
Red Hood: Outlaw #48
Nightwing Vol. 4 #73
Batman Vol. 3 #96
Batman Vol. 3 #97
Batman Vol. 3 #98
Detective Comics #1025
Detective Comics #1026
Nightwing Vol. 4 #74
Batman: The Joker War Zone #1 (2020)
Batman Vol. 3 #99
Catwoman Vol. 5 #25
Batman Vol. 3 #100
Catwoman Vol. 5 #26
Batgirl Vol. 5 #50
Nightwing Vol. 4 #75
