Comic Name
Batman/Superman Vol. 2 #1 (2019)
Batman/Superman Vol. 2 #2
The Infected: King Shazam #1 (2020)
Black Adam: Year of the Villain #1 (2019)
Batman/Superman Vol. 2 #3
The Infected: Scarab #1 (2020)
Hawkman Vol. 5 #18
Batman/Superman Vol. 2 #4
Supergirl Vol. 7 #36
The Infected: Deathbringer #1 (2020)
Hawkman Vol. 5 #19
Supergirl Vol. 7 #37
Supergirl Vol. 7 Annual #2
Batman/Superman Vol. 2 #5
The Infected: The Commissioner #1 (2020)
Supergirl Vol. 7 #38
Hawkman Vol. 5 #20
Batman/Superman Vol. 2 #6
Supergirl Vol. 7 #39
Supergirl Vol. 7 #40
Hawkman Vol. 5 #21
Hawkman Vol. 5 #22
Hawkman Vol. 5 #23
